period_start,join_fin_year,country,age_bracket,n
2021-09-01,2022,Australia,40-54,457
2021-09-01,2022,Australia,55-64,170
2021-09-01,2022,Australia,65+,58
2021-09-01,2022,New Zealand,,1119
2021-09-01,2022,New Zealand,0-17,63
2021-09-01,2022,New Zealand,18-24,99
2021-09-01,2022,New Zealand,25-34,193
2021-09-01,2022,New Zealand,35-39,82
2021-09-01,2022,New Zealand,40-54,148
2021-09-01,2022,New Zealand,55-64,58
2021-09-01,2022,New Zealand,65+,20
2021-09-01,2022,United Kingdom,,4
2021-09-01,2022,United Kingdom,0-17,1
2021-09-01,2022,United Kingdom,18-24,2
2021-09-01,2022,United Kingdom,25-34,3
2021-09-01,2022,United Kingdom,35-39,2
2021-09-01,2022,United Kingdom,40-54,7
2021-09-01,2022,United Kingdom,65+,1
2021-09-01,2022,United States,,13
2021-09-01,2022,United States,18-24,2
2021-09-01,2022,United States,25-34,1
2021-09-01,2022,United States,40-54,1
2021-09-01,2022,United States,65+,2
2021-10-01,2022,Australia,,5251
2021-10-01,2022,Australia,0-17,158
2021-10-01,2022,Australia,18-24,199
2021-10-01,2022,Australia,25-34,569
2021-10-01,2022,Australia,35-39,383
2021-10-01,2022,Australia,40-54,642
2021-10-01,2022,Australia,55-64,198
2021-10-01,2022,Australia,65+,89
2021-10-01,2022,New Zealand,,1754
2021-10-01,2022,New Zealand,0-17,150
2021-10-01,2022,New Zealand,18-24,127
2021-10-01,2022,New Zealand,25-34,494
2021-10-01,2022,New Zealand,35-39,232
2021-10-01,2022,New Zealand,40-54,397
2021-10-01,2022,New Zealand,55-64,122
2021-10-01,2022,New Zealand,65+,48
2021-10-01,2022,United Kingdom,,2
2021-10-01,2022,United Kingdom,0-17,2
2021-10-01,2022,United Kingdom,18-24,1
2021-10-01,2022,United Kingdom,25-34,7
2021-10-01,2022,United Kingdom,35-39,1
2021-10-01,2022,United Kingdom,40-54,4
2021-10-01,2022,United Kingdom,55-64,1
2021-10-01,2022,United Kingdom,65+,3
2021-10-01,2022,United States,,13
2021-10-01,2022,United States,25-34,5
2021-11-01,2022,Australia,,15842
2021-11-01,2022,Australia,0-17,396
2021-11-01,2022,Australia,18-24,458
2021-11-01,2022,Australia,25-34,1370
2021-11-01,2022,Australia,35-39,651
2021-11-01,2022,Australia,40-54,1199
2021-11-01,2022,Australia,55-64,380
2021-11-01,2022,Australia,65+,146
2021-11-01,2022,New Zealand,,4314
2021-11-01,2022,New Zealand,0-17,263
2021-11-01,2022,New Zealand,18-24,276
2021-11-01,2022,New Zealand,25-34,950
2021-11-01,2022,New Zealand,35-39,416
2021-11-01,2022,New Zealand,40-54,664
2021-11-01,2022,New Zealand,55-64,187
2021-11-01,2022,New Zealand,65+,67
2021-11-01,2022,United Kingdom,,8
2021-11-01,2022,United Kingdom,0-17,2
2021-11-01,2022,United Kingdom,18-24,1
2021-11-01,2022,United Kingdom,25-34,7
2021-11-01,2022,United Kingdom,35-39,3
2021-11-01,2022,United Kingdom,55-64,2
2021-11-01,2022,United Kingdom,65+,1
2021-11-01,2022,United States,,22
2021-11-01,2022,United States,0-17,1
2021-11-01,2022,United States,25-34,5
2021-11-01,2022,United States,35-39,1
2021-11-01,2022,United States,40-54,1
2021-11-01,2022,United States,55-64,2
2021-12-01,2022,Australia,,16892
2021-12-01,2022,Australia,0-17,271
2021-12-01,2022,Australia,18-24,458
2021-12-01,2022,Australia,25-34,1102
2021-12-01,2022,Australia,35-39,483
2021-12-01,2022,Australia,40-54,870
2021-12-01,2022,Australia,55-64,275
2021-12-01,2022,Australia,65+,119
2021-12-01,2022,New Zealand,,7421
2021-12-01,2022,New Zealand,0-17,202
2021-12-01,2022,New Zealand,18-24,279
2021-12-01,2022,New Zealand,25-34,761
2021-12-01,2022,New Zealand,35-39,347
2021-12-01,2022,New Zealand,40-54,542
2021-12-01,2022,New Zealand,55-64,128
2021-12-01,2022,New Zealand,65+,52
2021-12-01,2022,United Kingdom,,17
2021-12-01,2022,United Kingdom,0-17,6
2021-12-01,2022,United Kingdom,18-24,1
2021-12-01,2022,United Kingdom,25-34,18
2021-12-01,2022,United Kingdom,35-39,3
2021-12-01,2022,United Kingdom,40-54,13
2021-12-01,2022,United Kingdom,55-64,6
2021-12-01,2022,United Kingdom,65+,3
2021-12-01,2022,United States,,23
2021-12-01,2022,United States,18-24,1
